PID,Date,Time,IP Address,Port,Username,Scenario,Details
1264225,May  7,13:06:13,176.215.1.191,54452,NULL,Connection reset,IP
1264654,May  7,13:08:16,NULL,NULL,NULL,Connection closed,IP
1272585,May  7,14:11:34,172.236.228.39,47784,NULL,Connection closed,IP
1272587,May  7,14:11:35,172.236.228.39,52798,NULL,Connection closed,IP
1272600,May  7,14:11:37,172.236.228.39,52806,NULL,Connection closed,IP
1283457,May  7,15:38:23,NULL,NULL,root,Connection closed,IP
1290992,May  7,16:38:26,NULL,NULL,NULL,Connection closed,IP
1293710,May  7,17:00:06,NULL,NULL,NULL,banner line contains invalid characters,NULL
1298039,May  7,17:34:39,NULL,NULL,NULL,Connection closed,IP
1298795,May  7,17:39:32,NULL,NULL,NULL,Connection closed,IP
1304487,May  7,18:16:49,NULL,NULL,NULL,banner line contains invalid characters,NULL
1306901,May  7,18:36:09,64.62.156.205,40297,64.62.156.205,Connection closed,invalid user
1315971,May  7,19:48:29,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1318535,May  7,20:09:01,172.236.228.38,8930,NULL,Connection closed,IP
1318537,May  7,20:09:03,172.236.228.38,8934,NULL,Connection closed,IP
1318539,May  7,20:09:05,172.236.228.38,8938,NULL,Connection closed,IP
1325636,May  7,21:05:33,NULL,NULL,NULL,banner line contains invalid characters,NULL
1325637,May  7,21:05:33,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1325704,May  7,21:06:03,101.251.238.174,43210,NULL,Connection closed,IP
1325751,May  7,21:06:26,101.251.238.174,52566,NULL,DH GEX group out of range,NULL
1325795,May  7,21:06:48,101.251.238.174,41862,NULL,DH GEX group out of range,NULL
1325841,May  7,21:07:08,101.251.238.174,58526,NULL,DH GEX group out of range,NULL
1325865,May  7,21:07:21,101.251.238.174,47506,NULL,DH GEX group out of range,NULL
1325911,May  7,21:07:42,101.251.238.174,51498,NULL,DH GEX group out of range,NULL
1325955,May  7,21:08:00,101.251.238.174,51578,NULL,Connection closed,IP
1329836,May  7,21:38:58,NULL,NULL,NULL,Connection closed,IP
1329924,May  7,21:39:40,NULL,NULL,NULL,banner line contains invalid characters,NULL
1330997,May  7,21:48:09,NULL,NULL,NULL,Connection closed,IP
1332924,May  7,22:03:33,NULL,NULL,NULL,Connection closed,IP
1361411,May  8,01:49:09,NULL,NULL,NULL,Connection closed,IP
1364183,May  8,02:11:14,NULL,NULL,NULL,Connection reset,IP
1364195,May  8,02:11:16,NULL,NULL,NULL,Connection reset,IP
1364196,May  8,02:11:17,NULL,NULL,NULL,Connection reset,IP
1379486,May  8,04:12:47,NULL,NULL,NULL,Connection closed,IP
1388352,May  8,05:23:21,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
1396323,May  8,06:26:25,45.156.128.98,34205,NULL,Connection closed,IP
1402809,May  8,07:18:01,NULL,NULL,NULL,banner line contains invalid characters,NULL
1402899,May  8,07:19:15,120.26.230.64,51354,NULL,NULL,NULL
1402899,May  8,07:19:15,120.26.230.64,51354,NULL,NULL,NULL
1405488,May  8,07:39:18,NULL,NULL,NULL,Connection closed,IP
1409101,May  8,08:08:05,172.104.11.46,46274,NULL,Connection closed,IP
1409103,May  8,08:08:06,172.104.11.46,46286,NULL,Connection closed,IP
1409105,May  8,08:08:08,172.104.11.46,46288,NULL,Connection closed,IP
1409587,May  8,08:11:59,172.236.228.198,3422,NULL,Connection closed,IP
1409589,May  8,08:12:01,172.236.228.198,3438,NULL,Connection closed,IP
1409602,May  8,08:12:02,172.236.228.198,3450,NULL,Connection closed,IP
1418211,May  8,09:20:41,NULL,NULL,NULL,Connection closed,IP
1424348,May  8,10:09:39,NULL,NULL,NULL,banner line contains invalid characters,NULL
1432691,May  8,11:16:04,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
1435072,May  8,11:35:07,NULL,NULL,NULL,Connection closed,IP
1438556,May  8,12:02:18,NULL,NULL,NULL,Connection closed,IP
1445602,May  8,12:58:47,88.5.4.251,40656,88.5.4.251,Connection closed,invalid user
1455281,May  8,14:15:53,NULL,NULL,NULL,Connection closed,IP
1458710,May  8,14:43:59,NULL,NULL,NULL,banner line contains invalid characters,NULL
1458744,May  8,14:44:07,120.27.154.152,12140,NULL,NULL,NULL
1458744,May  8,14:44:07,120.27.154.152,12140,NULL,NULL,NULL
1458954,May  8,14:46:06,120.27.154.152,53698,NULL,NULL,NULL
1458954,May  8,14:46:06,120.27.154.152,53698,NULL,NULL,NULL
1461843,May  8,15:08:24,167.94.145.98,48740,NULL,Connection closed,IP
1468332,May  8,15:59:54,106.15.203.206,50970,106.15.203.206,Connection closed,invalid user
1471249,May  8,16:23:06,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1471509,May  8,16:25:14,NULL,NULL,NULL,Connection closed,IP
1474110,May  8,16:46:01,NULL,NULL,NULL,banner line contains invalid characters,NULL
1474144,May  8,16:46:17,NULL,NULL,NULL,client sent invalid protocol identifier,GET http://passport.baidu.com/ HTTP/1.1
1474167,May  8,16:46:31,NULL,NULL,NULL,banner line contains invalid characters,NULL
1484643,May  8,18:10:10,NULL,NULL,NULL,Connection closed,IP
1486137,May  8,18:22:08,NULL,NULL,NULL,Connection closed,IP
1486213,May  8,18:22:45,NULL,NULL,NULL,Connection closed,IP
1486346,May  8,18:23:57,93.123.109.19,40422,93.123.109.19,Connection closed,invalid user
1493850,May  8,19:23:35,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1493851,May  8,19:23:37,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1493863,May  8,19:23:41,NULL,NULL,NULL,client sent invalid protocol identifier,NULL
1495071,May  8,19:33:20,NULL,NULL,NULL,banner line contains invalid characters,NULL
1499779,May  8,20:10:54,172.236.228.222,20620,NULL,Connection closed,IP
1499781,May  8,20:10:55,172.236.228.222,20624,NULL,Connection closed,IP
1499794,May  8,20:10:57,172.236.228.222,20634,NULL,Connection closed,IP
1512018,May  8,21:47:37,NULL,NULL,NULL,banner line contains invalid characters,NULL
1520054,May  8,22:51:45,NULL,NULL,NULL,Connection closed,IP
1523231,May  8,23:17:06,NULL,NULL,NULL,Connection closed,IP
1527111,May  8,23:48:02,NULL,NULL,NULL,Connection closed,IP
1539321,May  9,01:25:13,65.49.1.215,2535,65.49.1.215,Connection closed,invalid user
1544592,May  9,02:07:05,NULL,NULL,NULL,Connection closed,IP
1545229,May  9,02:12:11,172.236.228.193,8130,NULL,Connection closed,IP
1545242,May  9,02:12:13,172.236.228.193,8146,NULL,Connection closed,IP
1545244,May  9,02:12:14,172.236.228.193,36364,NULL,Connection closed,IP
1555661,May  9,03:35:13,NULL,NULL,NULL,Connection closed,IP
